asin,Title,Rating,NumberOfReviews,Price
B0768N9N6K,"Nespresso Capsules VertuoLine, Intenso, Dark Roast Coffee, 30 Count Coffee Pods, Brews 7.77 Ounce",4.8,"12,645 ratings",
B0851ZQCX6,"Nespresso Capsules VertuoLine, Barista Flavored Pack, Mild Roast Coffee, 30 Count Coffee Pods, Brews 7.77 Ounce",4.7,"36,303 ratings",
B07PPP7SN4,Gourmet Flavored Coffee Sampler Pack - 12 Unique Flavored Coffees - Roasted by Door County Coffee,4.7,"2,529 ratings",
B079JTGJQD,"Modern Times, Coffee Seasonal Blend, 12 Ounce",4.3,11 ratings,
B07SJJBYXY,"Volant, Coffee Cold Brew Original Black, 12 Ounce",4.3,40 ratings,
B01M10RKLY,Maxwell House Intense Bold Dark Roast Ground Coffee (26.7 oz Canister),4.7,"10,048 ratings",
B0084CO2W8,Maxwell House The Original Roast Medium Roast Ground Coffee (30.6 oz Canister),4.7,"12,494 ratings",
B07C1YFV6D,"Dunkin' Original Blend Medium Roast Ground Coffee, 30 Ounce",4.7,"24,712 ratings",
B07FZ6WW66,"Nitro Beverage Co, Coffee Cold Brew Nitrogen Infused Organic, 12 Fl Oz",4.1,55 ratings, 
B079JW3KSL,"Verve Coffee Roasters, Coffee Africa, 12 Ounce",4.6,52 ratings, 
B00GLSFLMW,"Folgers 100% Colombian Decaf Medium Roast Coffee, 72 Keurig K-Cup Pods",4.8,"2,460 ratings",
B07FMY5L94,"Folgers 100% Colombian Medium Roast Ground Coffee, 24.2 Ounces (Pack of 6)",4.8,"14,394 ratings",
B07B4251G4,Starbucks Ground Coffee—Medium Roast Coffee—Breakfast Blend—100% Arabica—1 bag (28 oz),4.7,"17,480 ratings",
B00CYS7X2O,"Folgers Classic Roast Medium Roast Coffee, 72 Keurig K-Cup Pods, 12 Count (Pack of 6)",4.8,"23,070 ratings",
B079JQGDNH,"Ritual Roasters, Coffee Seasonal Single Origin Espresso, 12 Ounce",4.8,61 ratings,
B07FYLRXCJ,"MODERN TIMES Coffee Cold Brew Black House, 12 FZ",4.2,44 ratings,
B001UFSOXE,"Coffee Masters Around the World in Twelve Coffees, 1.5 Ounce (Pack of 12)",4.6,"2,399 ratings",
